sku_id,product_name,category,subcategory,brand_tier,private_label_flag,unit_cost,regular_retail_price,minimum_margin_pct,minimum_advertised_price,supplier,lead_time_days,case_pack,product_age_weeks,lifecycle_stage,base_demand,true_price_elasticity,seasonality_strength,inventory_holding_cost,obsolescence_risk,minimum_order_quantity
SKU-00001,Brake Fluid - Mid-Tier #1,Brakes,Brake Fluid,Mid-Tier,False,430.01,680.71,0.109,664.94,ValueLine Parts,38,1,144,Decline,11.99,-0.667,0.0,18.167,0.279,12
SKU-00002,Sockets - Mid-Tier #2,Tools,Sockets,Mid-Tier,False,173.06,215.58,0.183,200.95,Pacific Supply,40,12,165,Decline,24.3,-0.421,0.0,5.4823,0.145,12
SKU-00003,Shocks - Premium #3,Suspension,Shocks,Premium,False,343.11,554.37,0.197,494.7,Pacific Supply,22,1,18,New,16.78,-1.041,0.0,16.6553,0.076,6
SKU-00004,Diagnostic Tools - Economy #4,Tools,Diagnostic Tools,Economy,False,104.02,174.74,0.18,157.33,ValueLine Parts,11,12,89,Mature,4.35,-0.656,0.0,6.9918,0.203,1
SKU-00005,Control Arms - Economy #5,Suspension,Control Arms,Economy,False,232.16,348.36,0.114,301.29,Pacific Supply,6,12,132,Decline,46.09,-0.832,0.0,13.4846,0.171,1
SKU-00006,Power Steering - Premium #6,Fluids,Power Steering,Premium,False,221.18,290.24,0.141,278.9,Pacific Supply,30,1,63,Growth,23.95,-2.426,0.317,14.8266,0.203,6
SKU-00007,Struts - Economy #7,Suspension,Struts,Economy,False,87.65,107.7,0.109,101.66,AutoParts Co,42,1,144,Decline,41.08,-0.977,0.0,5.4149,0.139,1
SKU-00008,Shocks - Economy #8,Suspension,Shocks,Economy,False,184.1,231.18,0.112,225.41,ValueLine Parts,43,1,63,Mature,22.74,-0.664,0.0,11.6008,0.14,12
SKU-00009,Sockets - Premium #9,Tools,Sockets,Premium,False,144.9,189.32,0.131,175.18,ValueLine Parts,30,1,94,Mature,18.27,-0.712,0.0,8.3518,0.179,1
SKU-00010,Jacks - Mid-Tier #10,Tools,Jacks,Mid-Tier,False,155.79,213.14,0.114,184.03,ValueLine Parts,27,1,20,New,23.2,-0.506,0.0,8.6393,0.017,1
SKU-00011,Fuel Filter - Mid-Tier #11,Filters,Fuel Filter,Mid-Tier,False,392.45,492.0,0.149,449.59,Northern Dist,25,6,35,Growth,46.47,-1.093,0.0,18.184,0.016,1
SKU-00012,Car Battery - Premium #12,Batteries,Car Battery,Premium,False,279.25,353.17,0.167,313.11,Pacific Supply,7,6,179,Decline,58.71,-1.075,0.507,9.4422,0.021,24
SKU-00013,Cabin Filter - Mid-Tier #13,Filters,Cabin Filter,Mid-Tier,False,415.75,690.88,0.132,672.83,Northern Dist,10,1,125,Mature,112.96,-2.064,0.0,9.4353,0.136,24
SKU-00014,Spark Plugs - Economy #14,Engine Components,Spark Plugs,Economy,False,716.89,1054.39,0.132,1002.05,ValueLine Parts,6,12,178,Decline,31.15,-1.071,0.0,25.6271,0.282,12
SKU-00015,Spark Plugs - Premium #15,Engine Components,Spark Plugs,Premium,False,139.56,180.87,0.16,174.3,Pacific Supply,23,6,58,Mature,77.8,-1.443,0.0,3.9961,0.014,1
SKU-00016,Air Filter - Economy #16,Filters,Air Filter,Economy,False,65.31,95.58,0.169,88.46,ValueLine Parts,8,1,29,Mature,91.29,-2.2,0.0,4.9409,0.125,1
SKU-00017,Belts - Mid-Tier #17,Engine Components,Belts,Mid-Tier,False,765.39,1030.61,0.192,879.35,Northern Dist,34,1,33,Growth,12.95,-1.156,0.0,59.6805,0.183,1
SKU-00018,Gaskets - Mid-Tier #18,Engine Components,Gaskets,Mid-Tier,False,33.91,42.9,0.183,40.91,ValueLine Parts,28,24,161,Decline,43.4,-1.414,0.0,1.9053,0.13,24
SKU-00019,Rotors - Mid-Tier #19,Brakes,Rotors,Mid-Tier,False,327.71,559.44,0.145,493.55,Northern Dist,43,1,198,Decline,65.69,-1.034,0.0,7.8629,0.182,1
SKU-00020,Oil Filter - Mid-Tier #20,Filters,Oil Filter,Mid-Tier,False,76.22,133.41,0.117,118.34,Northern Dist,5,1,165,Decline,12.33,-2.27,0.0,1.7685,0.181,1
SKU-00021,Transmission Fluid - Mid-Tier #21,Fluids,Transmission Fluid,Mid-Tier,False,162.41,237.52,0.188,228.17,AutoParts Co,29,6,100,Mature,20.47,-2.73,0.3,7.3045,0.024,1
SKU-00022,Fuses - Premium #22,Electrical,Fuses,Premium,False,417.56,518.08,0.192,447.04,AutoParts Co,44,1,106,Mature,72.41,-0.572,0.0,27.8799,0.196,24
SKU-00023,Power Steering - Premium #23,Fluids,Power Steering,Premium,False,270.35,396.9,0.186,361.24,Northern Dist,21,1,138,Decline,22.78,-2.184,0.256,12.1694,0.077,1
SKU-00024,Wiring Harness - Mid-Tier #24,Electrical,Wiring Harness,Mid-Tier,False,192.83,303.74,0.13,295.65,Pacific Supply,25,24,75,Growth,27.61,-0.492,0.0,11.4069,0.243,24
SKU-00025,Transmission Fluid - Economy #25,Fluids,Transmission Fluid,Economy,False,147.64,237.52,0.12,223.35,AutoParts Co,29,12,184,Decline,49.92,-1.423,0.238,3.7013,0.281,12
SKU-00026,Fuel Filter - Economy #26,Filters,Fuel Filter,Economy,False,298.87,491.0,0.18,477.73,Northern Dist,28,1,191,Decline,20.46,-2.12,0.0,16.1082,0.176,1
SKU-00027,Struts - Mid-Tier #27,Suspension,Struts,Mid-Tier,False,383.14,634.12,0.149,588.43,AutoParts Co,33,1,169,Decline,11.13,-0.648,0.0,22.786,0.131,24
SKU-00028,Car Battery - Mid-Tier #28,Batteries,Car Battery,Mid-Tier,False,449.69,732.26,0.127,657.09,AutoParts Co,42,6,135,Decline,14.29,-1.454,0.259,19.3363,0.222,6
SKU-00029,Cabin Filter - Private Label #29,Filters,Cabin Filter,Private Label,True,391.25,566.56,0.138,554.24,ValueLine Parts,39,6,169,Decline,103.56,-1.423,0.0,10.6871,0.181,1
SKU-00030,Jacks - Mid-Tier #30,Tools,Jacks,Mid-Tier,False,99.18,142.46,0.144,126.68,Pacific Supply,44,1,6,New,3.65,-0.341,0.0,3.6731,0.253,24
SKU-00031,Brake Pads - Private Label #31,Brakes,Brake Pads,Private Label,True,334.51,519.05,0.109,501.72,AutoParts Co,36,1,52,Growth,62.59,-1.18,0.0,24.9673,0.2,24
SKU-00032,Brake Pads - Premium #32,Brakes,Brake Pads,Premium,False,304.93,505.19,0.124,485.2,ValueLine Parts,41,1,5,New,64.48,-1.16,0.0,18.8713,0.253,12
