elasticity_segment,category,region,customer_tier,estimated_elasticity,sample_size,price_variation,standard_error,confidence_score,estimation_level,elasticity_class
Brakes × Retail,Brakes,All,Retail,-0.3189553428261293,292,0.6335805935890038,0.03253764592432921,1.0,category_tier,Inelastic
Brakes × Trade,Brakes,All,Trade,-0.39267173154940277,245,0.5948994024280486,0.03333016824706882,1.0,category_tier,Inelastic
Brakes × Fleet,Brakes,All,Fleet,-0.24363920928815888,240,0.5900115082914059,0.03616963436906596,1.0,category_tier,Inelastic
Filters × Retail,Filters,All,Retail,-0.1,123,1.1000317287420123,0.049802538507448466,0.615,category_tier,Moderate
Filters × Trade,Filters,All,Trade,-0.1,110,1.142528741362076,0.04902397853130855,0.55,category_tier,Moderate
Filters × Fleet,Filters,All,Fleet,-0.1,91,1.2662522350392151,0.04985243696179801,0.455,category_tier,Moderate
Electrical × Retail,Electrical,All,Retail,-0.1,272,0.9993939122013408,0.04017133322818261,1.0,category_tier,Moderate
Electrical × Trade,Electrical,All,Trade,-0.1,259,1.1429868059414299,0.04320489174861065,1.0,category_tier,Moderate
Electrical × Fleet,Electrical,All,Fleet,-0.1,229,1.0568681991068463,0.04555435686095506,1.0,category_tier,Moderate
Suspension × Retail,Suspension,All,Retail,-0.1,339,0.7361564776182277,0.0329663330751853,1.0,category_tier,Moderate
Suspension × Trade,Suspension,All,Trade,-0.1,340,0.6697283552150106,0.03445910580407602,1.0,category_tier,Moderate
Suspension × Fleet,Suspension,All,Fleet,-0.1,326,0.688199099542285,0.0330628055485341,1.0,category_tier,Moderate
Fluids × Retail,Fluids,All,Retail,-0.1,300,0.6642478747294231,0.04128951430352295,1.0,category_tier,Moderate
Fluids × Trade,Fluids,All,Trade,-0.1,281,0.6412776903795242,0.0428621426358394,1.0,category_tier,Moderate
Fluids × Fleet,Fluids,All,Fleet,-0.1,266,0.6439273016690126,0.04632131098623338,1.0,category_tier,Moderate
Tools × Retail,Tools,All,Retail,-0.1,750,0.6354462624765732,0.020744394675192752,1.0,category_tier,Moderate
Tools × Trade,Tools,All,Trade,-0.1,717,0.6334024140646412,0.02205272869897431,1.0,category_tier,Moderate
Tools × Fleet,Tools,All,Fleet,-0.1,729,0.6362636605614607,0.02054248698282912,1.0,category_tier,Moderate
Batteries × Retail,Batteries,All,Retail,-0.1,366,1.0389967651017182,0.04191069779335312,1.0,category_tier,Moderate
Batteries × Trade,Batteries,All,Trade,-0.1,359,1.0038243363964143,0.040825739158068614,1.0,category_tier,Moderate
Batteries × Fleet,Batteries,All,Fleet,-0.1,293,1.060802427476793,0.046859353803204266,1.0,category_tier,Moderate
Engine Components × Retail,Engine Components,All,Retail,-0.14399764218592012,340,0.781379120043052,0.042941483904578005,1.0,category_tier,Inelastic
Engine Components × Trade,Engine Components,All,Trade,-0.1,308,0.8432459644406083,0.04469168507777942,1.0,category_tier,Moderate
Engine Components × Fleet,Engine Components,All,Fleet,-0.1,300,0.7575209937122357,0.04776735850391302,1.0,category_tier,Moderate
Brakes × Lower Mainland × Retail,Brakes,Lower Mainland,Retail,-0.12387341110984916,48,0.5796745024675822,0.06589054334660135,0.24,category_region_tier,Low confidence
Brakes × Lower Mainland × Trade,Brakes,Lower Mainland,Trade,-0.10492089752296213,36,0.45056157765333843,0.06537675256451063,0.18,category_region_tier,Low confidence
Brakes × Lower Mainland × Fleet,Brakes,Lower Mainland,Fleet,-0.1,32,0.37406616596134973,0.09200451260476651,0.16,category_region_tier,Low confidence
Brakes × Vancouver Island × Retail,Brakes,Vancouver Island,Retail,-0.36101406180753753,87,0.4978398676091593,0.05958680383020151,0.435,category_region_tier,Inelastic
Brakes × Vancouver Island × Trade,Brakes,Vancouver Island,Trade,-0.20262547698283181,74,0.5551704541446576,0.05890768250535842,0.37,category_region_tier,Low confidence
Brakes × Vancouver Island × Fleet,Brakes,Vancouver Island,Fleet,-0.16230193067709694,63,0.5911778793222835,0.06668161268118185,0.315,category_region_tier,Low confidence
Brakes × Interior × Retail,Brakes,Interior,Retail,-0.1581795469989295,68,0.6359794055750504,0.06442869798702805,0.34,category_region_tier,Low confidence
Brakes × Interior × Trade,Brakes,Interior,Trade,-0.16517686343326962,55,0.5879281329115646,0.07496706325483167,0.275,category_region_tier,Low confidence
Brakes × Interior × Fleet,Brakes,Interior,Fleet,-0.14989119649864985,63,0.6029599322894016,0.07263875001764687,0.315,category_region_tier,Low confidence
Brakes × Northern BC × Retail,Brakes,Northern BC,Retail,-0.3587824329257199,89,0.7551367253480976,0.06404946651250644,0.445,category_region_tier,Inelastic
Brakes × Northern BC × Trade,Brakes,Northern BC,Trade,-0.461688050466847,80,0.6932116340835557,0.0596816547375642,0.4,category_region_tier,Inelastic
Brakes × Northern BC × Fleet,Brakes,Northern BC,Fleet,-0.2300468305005716,82,0.6288601466377274,0.06325811666449073,0.41,category_region_tier,Inelastic
Filters × Vancouver Island × Retail,Filters,Vancouver Island,Retail,-0.1,39,1.037384883698793,0.09110595420552929,0.195,category_region_tier,Low confidence
Filters × Northern BC × Retail,Filters,Northern BC,Retail,-0.10000000000000002,42,1.201885451557889,0.09073097615205625,0.21,category_region_tier,Low confidence
Filters × Northern BC × Trade,Filters,Northern BC,Trade,-0.1,47,0.9746477455146274,0.08167929576082793,0.235,category_region_tier,Low confidence
Filters × Northern BC × Fleet,Filters,Northern BC,Fleet,-0.10000000000000002,36,0.9427208599250534,0.082541965146451,0.18,category_region_tier,Low confidence
Electrical × Lower Mainland × Retail,Electrical,Lower Mainland,Retail,-0.1,50,1.045039091480829,0.09387692532126779,0.25,category_region_tier,Low confidence
Electrical × Lower Mainland × Trade,Electrical,Lower Mainland,Trade,-0.1,37,1.051073487566037,0.10545339649096307,0.185,category_region_tier,Low confidence
Electrical × Vancouver Island × Retail,Electrical,Vancouver Island,Retail,-0.1,71,1.0671835610268188,0.06812428631190484,0.355,category_region_tier,Low confidence
Electrical × Vancouver Island × Trade,Electrical,Vancouver Island,Trade,-0.1,78,1.1211868622708931,0.08607364128734038,0.39,category_region_tier,Low confidence
Electrical × Vancouver Island × Fleet,Electrical,Vancouver Island,Fleet,-0.1,53,1.0639745225009842,0.10862718345371171,0.265,category_region_tier,Low confidence
Electrical × Interior × Retail,Electrical,Interior,Retail,-0.1,54,0.9918371748748229,0.10103724387816014,0.27,category_region_tier,Low confidence
Electrical × Interior × Trade,Electrical,Interior,Trade,-0.1,60,1.3060075678262129,0.07819182185006113,0.3,category_region_tier,Low confidence
Electrical × Interior × Fleet,Electrical,Interior,Fleet,-0.1,55,1.1195961063557809,0.08049609742318022,0.275,category_region_tier,Low confidence
Electrical × Northern BC × Retail,Electrical,Northern BC,Retail,-0.1,97,0.9375194316851744,0.06280896148536448,0.485,category_region_tier,Moderate
Electrical × Northern BC × Trade,Electrical,Northern BC,Trade,-0.1,84,1.0514113719798863,0.07389814790834043,0.42,category_region_tier,Moderate
Electrical × Northern BC × Fleet,Electrical,Northern BC,Fleet,-0.1,94,1.0681203996635515,0.06952316489115049,0.47,category_region_tier,Moderate
Suspension × Lower Mainland × Retail,Suspension,Lower Mainland,Retail,-0.1,54,0.6980089883373957,0.08318026876229,0.27,category_region_tier,Low confidence
