sku_id,category,region,unit_cost,on_hand_inventory,on_order_inventory,available_inventory,average_weekly_demand,demand_std,demand_trend,on_hand_weeks_of_cover,available_weeks_of_cover,inventory_turns,sell_through_rate,stockout_probability,safety_stock,reorder_point,excess_units,excess_inventory_value,lost_sales_estimate,obsolescence_risk_score,lead_time_weeks,case_pack,minimum_order_quantity,lifecycle_stage,product_age_weeks,inventory_status,net_requirement,recommended_order_quantity,expected_stockout_weeks,replenishment_action,replenishment_reason
SKU-00001,Brakes,Interior,430.01,311.15,82.66999999999999,393.81999999999994,8.52,1.328,-0.0064,36.52,46.22,0.09,0.0748,0.0,5.11,51.36,325.66,140037.06,0.0,1.0,5.43,1,12,Decline,144,OBSOLETE_RISK,0.0,0.0,36.52,STOP_OR_DELAY_ORDER,EXCESS_ON_ORDER
SKU-00001,Brakes,Lower Mainland,430.01,169.68,0.0,169.68,13.8,4.217,-0.1138,12.3,12.3,0.215,0.1573,0.0,16.21,91.13,59.28,25490.99,0.0,1.0,5.43,1,12,Decline,144,OBSOLETE_RISK,0.0,0.0,12.3,NO_ACTION,SUFFICIENT_INVENTORY
SKU-00001,Brakes,Northern BC,430.01,288.28999999999996,0.0,288.28999999999996,6.97,1.349,0.038,41.36,41.36,0.072,0.064,0.0,5.19,43.02,232.53,99990.23,0.0,1.0,5.43,1,12,Decline,144,OBSOLETE_RISK,0.0,0.0,41.36,NO_ACTION,SUFFICIENT_INVENTORY
SKU-00001,Brakes,Vancouver Island,430.01,238.98000000000002,0.0,238.98000000000002,7.61,1.27,-0.2141,31.4,31.4,0.108,0.0799,0.0,4.88,46.19,178.1,76584.78,0.0,1.0,5.43,1,12,Decline,144,OBSOLETE_RISK,0.0,0.0,31.4,NO_ACTION,SUFFICIENT_INVENTORY
SKU-00002,Tools,Interior,173.06,119.09,8.61,127.7,14.03,2.331,0.0319,8.49,9.1,0.375,0.2493,0.0,9.19,89.36,15.46,2675.51,0.0,0.645,5.71,12,12,Decline,165,OBSOLETE_RISK,0.0,0.0,8.49,NO_ACTION,SUFFICIENT_INVENTORY
SKU-00002,Tools,Lower Mainland,173.06,9.12,76.6,85.72,22.163,3.433,-0.5597,0.41,3.87,5.615,0.722,1.0,13.54,140.18,0.0,0.0,41.97,0.795,5.71,12,12,Decline,165,STOCKOUT_RISK,54.46000000000001,60.0,0.41,EXPEDITE_ORDER,IMMINENT_STOCKOUT
SKU-00002,Tools,Northern BC,173.06,221.37,82.56,303.93,10.24,1.484,0.1157,21.62,29.68,0.165,0.1283,0.0,5.85,64.37,222.01,38421.05,0.0,0.995,5.71,12,12,Decline,165,OBSOLETE_RISK,0.0,0.0,21.62,STOP_OR_DELAY_ORDER,EXCESS_ON_ORDER
SKU-00002,Tools,Vancouver Island,173.06,61.15,5.22,66.37,14.404,3.905,0.0845,4.25,4.61,0.598,0.3928,0.9561,15.4,97.71,0.0,0.0,9.15,0.645,5.71,12,12,Decline,165,STOCKOUT_RISK,31.339999999999996,36.0,4.25,EXPEDITE_ORDER,IMMINENT_STOCKOUT
SKU-00003,Suspension,Interior,343.11,213.77,0.0,213.77,17.766,4.757,0.1522,12.03,12.03,0.197,0.1851,0.0,13.91,69.75,71.64,24580.4,0.0,0.226,3.14,1,6,New,18,SLOW_MOVING,0.0,0.0,12.03,NO_ACTION,SUFFICIENT_INVENTORY
SKU-00003,Suspension,Lower Mainland,343.11,0.0,48.849999999999994,48.849999999999994,25.135,6.69,-0.586,0.0,1.94,51.777,1.0,0.9945,19.57,98.57,0.0,0.0,71.29,0.226,3.14,1,6,New,18,STOCKOUT,49.72,101.0,0.0,EXPEDITE_ORDER,STOCKOUT_EXPEDITE
