sku_id,category,region,customer_tier,current_price,recommended_price,price_change_pct,predicted_current_units,predicted_recommended_units,current_revenue,projected_revenue,current_gross_profit,projected_gross_profit,gross_profit_lift,gross_margin_pct,expected_ending_inventory,expected_weeks_of_cover,elasticity,elasticity_confidence,recommendation_action,reason_code,guardrail_triggered,approval_status,policy_version,pricing_action,pricing_reason_code,modeled_gp_lift,on_hand_inventory,on_order_inventory,average_weekly_demand,demand_std,inventory_turns,on_hand_weeks_of_cover,available_weeks_of_cover,sell_through_rate,stockout_probability,safety_stock,reorder_point,excess_units,excess_inventory_value,lost_sales_estimate,obsolescence_risk_score,inventory_status,inventory_action,inventory_reason_code,recommended_order_quantity,transfer_candidate_flag,pricing_confidence,inventory_confidence,joint_confidence,joint_confidence_score,manual_review_required,generated_at
SKU-00001,Brakes,Interior,Fleet,606.03,664.99,0.0973,8.79,8.668523152473036,5327.003699999999,5764.481211163044,1547.2158,2036.9295703681137,489.7137703681137,0.353358697123265,86.68147684752697,9.9995668607977,-0.14989119649864985,0.315,Increase,PRICE_LADDER_CONSTRAINT,"MAX_MOVE,MAP,TIER_LADDER,MAP",Pending,v2.0.0-inventory-engine,Increase,PRICE_LADDER_CONSTRAINT,489.7137703681137,311.15,82.66999999999999,8.52,1.328,0.09,36.52,46.22,0.0748,0.0,5.11,51.36,325.66,140037.06,0.0,1.0,OBSOLETE_RISK,STOP_OR_DELAY_ORDER,EXCESS_ON_ORDER,0.0,False,0.315,0.698,MEDIUM,0.698,False,2026-06-19T14:14:09.832102
SKU-00001,Brakes,Interior,Retail,687.9,708.99,0.0307,5.95,5.921646424816412,4093.005,4198.388098730588,1534.4455000000003,1652.020919595283,117.57541959528271,0.393489329891818,108.97835357518359,18.40338746306729,-0.1581795469989295,0.34,Increase,NO_MATERIAL_OPPORTUNITY,MAX_MOVE,Pending,v2.0.0-inventory-engine,Increase,NO_MATERIAL_OPPORTUNITY,117.57541959528271,311.15,82.66999999999999,8.52,1.328,0.09,36.52,46.22,0.0748,0.0,5.11,51.36,325.66,140037.06,0.0,1.0,OBSOLETE_RISK,STOP_OR_DELAY_ORDER,EXCESS_ON_ORDER,0.0,False,0.34,0.707,HIGH,0.707,False,2026-06-19T14:14:09.832210
SKU-00001,Brakes,Interior,Trade,623.28,664.99,0.0669,10.4,10.289318161161932,6482.112,6842.293683991073,2010.0079999999998,2417.7839815098305,407.7759815098307,0.353358697123265,90.61068183883808,8.806286327198748,-0.16517686343326962,0.275,Manual Review,MAP_CONSTRAINT,"MAX_MOVE,MAP",Pending,v2.0.0-inventory-engine,Manual Review,MAP_CONSTRAINT,407.7759815098307,311.15,82.66999999999999,8.52,1.328,0.09,36.52,46.22,0.0748,0.0,5.11,51.36,325.66,140037.06,0.0,1.0,OBSOLETE_RISK,STOP_OR_DELAY_ORDER,EXCESS_ON_ORDER,0.0,False,0.275,0.684,MEDIUM,0.684,False,2026-06-19T14:14:09.832372
SKU-00001,Brakes,Lower Mainland,Fleet,616.55,664.99,0.0786,11.85,11.760713466119533,7306.117499999999,7820.7568478348285,2210.499,2763.532450268768,553.0334502687683,0.353358697123265,70.65928653388048,6.008078229049366,-0.1,0.16,Manual Review,PRICE_LADDER_CONSTRAINT,"MAX_MOVE,MAP,TIER_LADDER,MAP",Pending,v2.0.0-inventory-engine,Manual Review,PRICE_LADDER_CONSTRAINT,553.0334502687683,169.68,0.0,13.8,4.217,0.215,12.3,12.3,0.1573,0.0,16.21,91.13,59.28,25490.99,0.0,1.0,OBSOLETE_RISK,STOP_OR_DELAY_ORDER,OBSOLESCENCE_STOP_ORDER,0.0,False,0.16,0.644,MEDIUM,0.644,False,2026-06-19T14:14:09.832478
SKU-00001,Brakes,Lower Mainland,Retail,677.96,698.99,0.031,9.35,9.314685494544946,6338.926,6510.872013831972,2318.3325000000004,2505.4641043227,187.1316043226998,0.38481237213694053,48.005314505455054,5.153723604899907,-0.12387341110984916,0.24,Test,NO_MATERIAL_OPPORTUNITY,MAX_MOVE,Pending,v2.0.0-inventory-engine,Test,NO_MATERIAL_OPPORTUNITY,187.1316043226998,169.68,0.0,13.8,4.217,0.215,12.3,12.3,0.1573,0.0,16.21,91.13,59.28,25490.99,0.0,1.0,OBSOLETE_RISK,STOP_OR_DELAY_ORDER,OBSOLESCENCE_STOP_ORDER,0.0,False,0.24,0.672,MEDIUM,0.672,False,2026-06-19T14:14:09.832580
SKU-00001,Brakes,Lower Mainland,Trade,621.5,664.99,0.07,10.48,10.405892574706794,6513.320000000001,6919.814503254271,2006.815200000001,2445.1766372046022,438.3614372046013,0.353358697123265,19.534107425293207,1.8772159413574976,-0.10492089752296213,0.18,Manual Review,MAP_CONSTRAINT,"MAX_MOVE,MAP,STOCKOUT_PROTECTION,MAP",Pending,v2.0.0-inventory-engine,Manual Review,MAP_CONSTRAINT,438.3614372046013,169.68,0.0,13.8,4.217,0.215,12.3,12.3,0.1573,0.0,16.21,91.13,59.28,25490.99,0.0,1.0,OBSOLETE_RISK,STOP_OR_DELAY_ORDER,OBSOLESCENCE_STOP_ORDER,0.0,False,0.18,0.651,MEDIUM,0.651,False,2026-06-19T14:14:09.832805
SKU-00001,Brakes,Northern BC,Fleet,575.71,664.99,0.1551,8.15,7.884135290724421,4692.0365,5242.871126978833,1187.455,1852.6141106144246,665.1591106144247,0.353358697123265,44.99586470927558,5.707140104788994,-0.2300468305005716,0.41,Increase,PRICE_LADDER_CONSTRAINT,"MAX_MOVE,MAP,TIER_LADDER,MAP",Pending,v2.0.0-inventory-engine,Increase,PRICE_LADDER_CONSTRAINT,665.1591106144247,288.28999999999996,0.0,6.97,1.349,0.072,41.36,41.36,0.064,0.0,5.19,43.02,232.53,99990.23,0.0,1.0,OBSOLETE_RISK,STOP_OR_DELAY_ORDER,OBSOLESCENCE_STOP_ORDER,0.0,False,0.41,0.732,HIGH,0.732,False,2026-06-19T14:14:09.832987
SKU-00001,Brakes,Northern BC,Retail,669.91,770.99,0.1509,4.81,4.573490326982435,3222.2670999999996,3526.115307200188,1153.9189999999999,1559.468731694471,405.5497316944711,0.4422625455583082,147.71650967301755,32.29841961215651,-0.3587824329257199,0.445,Increase,NO_MATERIAL_OPPORTUNITY,MAX_MOVE,Pending,v2.0.0-inventory-engine,Increase,NO_MATERIAL_OPPORTUNITY,405.5497316944711,288.28999999999996,0.0,6.97,1.349,0.072,41.36,41.36,0.064,0.0,5.19,43.02,232.53,99990.23,0.0,1.0,OBSOLETE_RISK,STOP_OR_DELAY_ORDER,OBSOLESCENCE_STOP_ORDER,0.0,False,0.445,0.744,HIGH,0.744,False,2026-06-19T14:14:09.833093
SKU-00001,Brakes,Northern BC,Trade,616.38,669.99,0.087,6.75,6.495035546039996,4160.565,4351.608865491337,1257.9974999999995,1558.6786303386789,300.6811303386794,0.3581844505141869,76.62496445396,11.797466528212924,-0.461688050466847,0.4,Increase,PRICE_LADDER_CONSTRAINT,"MAX_MOVE,TIER_LADDER",Pending,v2.0.0-inventory-engine,Increase,PRICE_LADDER_CONSTRAINT,300.6811303386794,288.28999999999996,0.0,6.97,1.349,0.072,41.36,41.36,0.064,0.0,5.19,43.02,232.53,99990.23,0.0,1.0,OBSOLETE_RISK,STOP_OR_DELAY_ORDER,OBSOLESCENCE_STOP_ORDER,0.0,False,0.4,0.728,HIGH,0.728,False,2026-06-19T14:14:09.833227
SKU-00001,Brakes,Vancouver Island,Fleet,585.38,664.99,0.136,7.03,6.886007525481119,4115.2214,4579.126144369689,1092.2511000000004,1618.0740483375534,525.822948337553,0.353358697123265,73.55399247451888,10.68166019312907,-0.16230193067709694,0.315,Increase,PRICE_LADDER_CONSTRAINT,"MAX_MOVE,MAP,TIER_LADDER,MAP",Pending,v2.0.0-inventory-engine,Increase,PRICE_LADDER_CONSTRAINT,525.822948337553,238.98000000000002,0.0,7.61,1.27,0.108,31.4,31.4,0.0799,0.0,4.88,46.19,178.1,76584.78,0.0,1.0,OBSOLETE_RISK,STOP_OR_DELAY_ORDER,OBSOLESCENCE_STOP_ORDER,0.0,False,0.315,0.698,MEDIUM,0.698,False,2026-06-19T14:14:09.833398
